site,source,lat,long,slope
29.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.22017544,-82.34578947,2.36E-06
3,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.63980392,-80.07990196,2.50E-06
30,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.39891304,-82.195,1.32E-05
30.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.5610989,-82.05582418,1.60E-05
31,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.72883495,-81.92864078,1.90E-05
32,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.85866667,-81.82219048,3.37E-05
33,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.8972381,-81.7887619,4.78E-05
34,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.93019231,-81.75365385,9.09E-05
35,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.22,-81.84,-0.00019
36,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.2,-81.89941176,6.75E-05
37,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.18,-81.97,3.50E-05
38,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.15111111,-82.05222222,4.00E-05
39,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.77876289,-81.48051546,1.89E-05
4,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.1009375,-80.3728125,7.25E-06
40,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.75425743,-81.51990099,5.75E-05
41,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.73168317,-81.56920792,5.38E-06
42,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.65042105,-81.71157895,4.26E-05
43,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.58,-81.85,2.13E-05
44,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.58,-81.66,8.81E-05
45,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.5799,-81.4677,4.78E-05
46,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.58,-81.40180952,3.50E-05
47,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.58,-81.36122642,5.00E-05
48,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.58,-81.32543689,6.33E-05
49,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.57990196,-81.29098039,0.000103889
5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.09,-80.35022222,4.00E-06
5.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.07195122,-80.3297561,3.60E-06
50,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.45009804,-81.34509804,3.11E-05
51,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.45009709,-81.29902913,3.00E-05
52,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.45118812,-81.25663366,4.69E-05
53,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.45,-81.2214,4.92E-05
54,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.33902913,-81.15048544,7.33E-05
55,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.34495238,-81.19133333,0.000120833
56,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.34495327,-81.22084112,4.28E-05
57,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.3490566,-81.26018868,3.60E-05
57.1,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.38939394,-81.36636364,-0.00035125
57.2,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.349375,-81.4803125,2.33E-05
57.3,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.3483871,-81.65032258,-0.00026
58,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.1625,-81.6441,4.29E-06
59,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.16469388,-81.48234694,1.27E-05
6,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.06010526,-80.32084211,7.33E-06
6.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.04271605,-80.29395062,5.00E-06
60,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.16188679,-81.3304717,1.50E-05
61,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.16038095,-81.27009524,1.25E-05
62,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.16049505,-81.23009901,-1.13E-06
63,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.16038462,-81.19557692,1.27E-05
64,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.16020833,-81.15197917,7.08E-06
65,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.0966,-81.0904,1.48E-05
66,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.06069307,-81.10108911,9.17E-06
67,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.02637255,-81.12029412,6.67E-06
68,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.92485437,-81.16048544,-7.75E-06
69,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.92621053,-81.09,-1.33E-05
7,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.81292453,-80.74990566,8.47E-06
70,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.92617021,-81.02085106,-1.50E-05
71,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.92575342,-80.96013699,-8.85E-05
8,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.79038835,-80.74,2.31E-06
9,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.75981132,-80.72481132,1.83E-06
9.5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.71058824,-80.69211765,6.83E-06
CAL1,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.42071429,-81.95571429,-8.78E-05
CAL2,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.38,-81.99625,3.47E-05
CAL3,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.33892857,-82.04035714,3.10E-05
CAL4,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.25071429,-82.13089286,-1.82E-06
CAL5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.17962963,-82.21092593,1.00E-05
CH1,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.7102381,-82.24595238,-0.000150333
CH2,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.65928571,-82.32880952,-0.000173333
CH3,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.55,-82.4602381,-3.00E-05
CH4,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.46904762,-82.61,5.00E-06
CH5,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),26.37974359,-82.76025641,-1.10E-05
DT1,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.69,-82.91,5.50E-05
DT10,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.55,-82.97794872,-1.11E-06
DT11,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.60405405,-82.91837838,1.44E-05
DT2,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.69,-83.04857143,5.50E-05
DT3,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.68952381,-83.18,1.50E-05
DT4,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.68952381,-83.30190476,1.50E-05
DT6,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.42952381,-83.22952381,1.00E-05
DT9,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.46564103,-83.04384615,-1.43E-06
EK_IN,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.32814815,-80.21703704,-2.50E-05
EK_MID,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.30962963,-80.19037037,-6.25E-05
EK_OFF,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.292,-80.1628,-3.25E-05
MR,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),25.0009375,-80.4025,6.67E-06
UK_IN,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.93035714,-80.56142857,-5.00E-05
UK_MID,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.91821429,-80.54071429,-6.25E-05
UK_OFF,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.89107143,-80.55178571,-5.00E-05
WS,NOAA-AOML South Florida Ecosystem Restoration Cruises (R/V Walton Smith),24.47125,-81.7109375,-6.75E-05
